created_at	id	text	source	user	is_quote_status	retweet_count	favorite_count	entities	favorited	retweeted	filter_level
Fri Jun 02 00:21:49 +0000 2017	870435247107604480	Gestalt Therapy: The Top benefits And Effects On Mental Health u00a0 u00a0Gestalt Therapy: The Top benef https://t.co/FI3EQpwXXF #HealthyEve	u003ca href=http://www.ajaymatharu.com/ rel=nofollowu003eTweet Old Postu003c/au003e	747146989788356608	False	0	0	{'hashtags': [{'text': 'HealthyEve', 'indices': [121, 132]}], 'urls': [{'url': 'https://t.co/FI3EQpwXXF', 'expanded_url': 'http://wp.me/p7ESqI-UF', 'display_url': 'wp.me/p7ESqI-UF', 'indices': [97, 120]}], 'user_mentions': [], 'symbols': []}	False	False	low
Fri Jun 02 00:21:50 +0000 2017	870435252690239489	RT @youngbabycoco: Stfu bitch https://t.co/DFwdVaE2M1	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	618634013	True	0	0	{'hashtags': [], 'urls': [{'url': 'https://t.co/DFwdVaE2M1', 'expanded_url': 'https://twitter.com/girlposts/status/870032891832610817', 'display_url': 'twitter.com/girlposts/statu2026', 'indices': [30, 53]}], 'user_mentions': [{'screen_name': 'youngbabycoco', 'name': 'young baby coco', 'id': 3307571188, 'id_str': '3307571188', 'indices': [3, 17]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:51 +0000 2017	870435253772468224	RT @QueenPAC32: This is going to be a Thread on: Dating Someone with Depression.   **keep in mind that depression varies a bit in each persu2026	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	712125523	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'QueenPAC32', 'name': 'Lady Lupusud83dudc9cud83dudcaaud83cudffdud83dudc83ud83cudffd', 'id': 356066440, 'id_str': '356066440', 'indices': [3, 14]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:51 +0000 2017	870435254997098497	I have too much anxiety for now	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	712806517150384129	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}	False	False	low
Fri Jun 02 00:05:57 +0000 2017	870431253039919104	RT @Joyous184: #BH365 https://t.co/X5dqIlBW1e	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	718475227366309888	True	0	0	{'hashtags': [{'text': 'BH365', 'indices': [15, 21]}], 'urls': [{'url': 'https://t.co/X5dqIlBW1e', 'expanded_url': 'https://twitter.com/swhr/status/870408431542427648', 'display_url': 'twitter.com/swhr/status/87u2026', 'indices': [22, 45]}], 'user_mentions': [{'screen_name': 'Joyous184', 'name': 'Joy Burwell', 'id': 148483011, 'id_str': '148483011', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:52 +0000 2017	870435260781150208	RT @GIRLposts: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and sociu2026 	u003ca href=http://twitter.com/download/android rel=nofollowu003eTwitter for Androidu003c/au003e	1105393496	False	0	0	{'hashtags': [], 'urls': [{'url': '', 'expanded_url': None, 'indices': [132, 132]}], 'user_mentions': [{'screen_name': 'GIRLposts', 'name': 'Common White Girl', 'id': 132774626, 'id_str': '132774626', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:52 +0000 2017	870435261506883584	RT @lifeaseva: Depression is diagnosed by a doctor and can be helped. Its not a sad twitter joke. Its not a relateable tweet. Stop joking au2026	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	765209692704563200	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'lifeaseva', 'name': 'Eva Gutowski', 'id': 1079108184, 'id_str': '1079108184', 'indices': [3, 13]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:53 +0000 2017	870435265671593984	RT @PoPpYsMiSsiOn: What Is ? #PTSD &amp; #Trauma  ud83cudf43#anxiety ud83cudf43#hypervigilance ud83cudf43#depression ud83cudf43Diagnosis #Symptoms ud83cudf43#Sleep disturbancesu2026 	u003ca href=http://twitter.com/download/android rel=nofollowu003eTwitter for Androidu003c/au003e	2381268590	False	0	0	{'hashtags': [{'text': 'PTSD', 'indices': [29, 34]}, {'text': 'Trauma', 'indices': [41, 48]}, {'text': 'anxiety', 'indices': [51, 59]}, {'text': 'hypervigilance', 'indices': [61, 76]}, {'text': 'depression', 'indices': [78, 89]}, {'text': 'Symptoms', 'indices': [101, 110]}, {'text': 'Sleep', 'indices': [112, 118]}], 'urls': [{'url': '', 'expanded_url': None, 'indices': [133, 133]}], 'user_mentions': [{'screen_name': 'PoPpYsMiSsiOn', 'name': 'PoppysMission', 'id': 777615593008537600, 'id_str': '777615593008537600', 'indices': [3, 17]}], 'symbols': []}	False	False	low
Fri Jun 02 00:21:54 +0000 2017	870435268624396289	Real depression hours	u003ca href=http://twitter.com/download/iphone rel=nofollowu003eTwitter for iPhoneu003c/au003e	3150972200	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}	False	False	low
Fri Jun 02 00:21:54 +0000 2017	870435269228371968	RT @rachaelmbade: Really moving question from woman who has a son w/severe mental health issues who lives on SSDI, which POTUS cuts. Knightu2026	u003ca href=http://twitter.com rel=nofollowu003eTwitter Web Clientu003c/au003e	21019697	False	0	0	{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'rachaelmbade', 'name': 'Rachael Bade', 'id': 167024520, 'id_str': '167024520', 'indices': [3, 16]}], 'symbols': []}	False	False	low
